acteurs,annee,description,duree,genre,langueOrigine,paysOrigine,public,realisateur,scorePresse,scoreSpectateur,title,titreOriginal
"Jean-Paul Rouve,Kim Higelin,Laetitia Casta",11 octobre 2023,"Paris, 1985. Vanessa a treize ans lorsqu'elle rencontre Gabriel Matzneff, écrivain quinquagénaire de renom. La jeune adolescente devient l'amante et la muse de cet homme célébré par le monde culturel et politique. Se perdant dans la relation, elle subit de plus en plus violemment l’emprise destructrice que ce prédateur exerce sur elle.",118,"Biopic,Drame",Français," France, Belgique",Interdit - 12 ans avec avertissement,Vanessa Filho,"3,0","3,6",Le Consentement,
"Saoirse Ronan,Margot Robbie,Jack Lowden",27 février 2019,"Le destin tumultueux de la charismatique Marie Stuart. Épouse du Roi de France à 16 ans, elle se retrouve veuve à 18 ans et refuse de se remarier conformément à la tradition. Au lieu de cela elle repart dans son Écosse natale réclamer le trône qui lui revient de droit. Mais la poigne d’Élisabeth Iʳᵉ s’étend aussi bien sur l’Angleterre que l’Écosse. Les deux jeunes reines ne tardent pas à devenir de véritables sœurs ennemies et, entre peur et fascination réciproques, se battent pour la couronne d’Angleterre. Rivales aussi bien en pouvoir qu’en amour, toutes deux régnant sur un monde dirigé par des hommes, elles doivent impérativement statuer entre les liens du mariage ou leur indépendance. Mais Marie menace la souveraineté d’Elisabeth. Leurs deux cours sont minées par la trahison, la conspiration et la révolte qui mettent en péril leurs deux trônes et menacent de changer le cours de l’Histoire.",124,"Biopic,Drame,Historique",Anglais," U.S.A., Grande-Bretagne",,Josie Rourke,"3,4","3,2","Marie Stuart, Reine d'Ecosse",Mary Queen of Scots
"Fanny Ardant, Vianney,Patrick Chesnais",5 décembre 2018,"Nina est une mère un peu folle, Baptiste un fils un peu trop sage. Fâchés depuis longtemps ils se retrouvent pour l’aventure de leur vie. Au cours d’un voyage improbable, drôle et émouvant, ils vont rattraper le temps perdu, apprendre à se connaître enfin et s’aimer à nouveau.",95,Comédie,-, France,,Diane Kurys,"2,9","2,6",Ma mère est folle,
"Rebecca Marder,André Marcon,Anthony Bajon",26 janvier 2022,"Irène, jeune fille juive, vit l’élan de ses 19 ans à Paris, l’été 1942. Sa famille la regarde découvrir le monde, ses amitiés, son nouvel amour, sa passion du théâtre… Irène veut devenir actrice et ses journées s’enchaînent dans l’insouciance de sa jeunesse.",98,"Drame,Historique",-, France,,Sandrine Kiberlain,"3,6","3,3",Une jeune fille qui va bien,
"Dane DeHaan,Cara Delevingne,Clive Owen",26 juillet 2017,"Au 28ème siècle, Valérian et Laureline forment une équipe d'agents spatio-temporels chargés de maintenir l'ordre dans les territoires humains. Mandaté par le Ministre de la Défense, le duo part en mission sur l’extraordinaire cité intergalactique Alpha - une métropole en constante expansion où des espèces venues de l'univers tout entier ont convergé au fil des siècles pour partager leurs connaissances, leur savoir-faire et leur culture. Un mystère se cache au cœur d'Alpha, une force obscure qui menace l'existence paisible de la Cité des Mille Planètes. Valérian et Laureline vont devoir engager une course contre la montre pour identifier la terrible menace et sauvegarder non seulement Alpha, mais l'avenir de l'univers.",137,"Action,Aventure,Fantastique,Science Fiction",2017," France, Chine, Belgique, Emirats Arabes Unis, U.S.A., Allemagne, Canada, Grande-Bretagne",,Luc Besson,"3,0","3,3",Valérian et la Cité des mille planètes,Valerian and the City of a Thousand Planets
"Irène Jacob,Grégoire Colin,Cyril Gueï",5 juin 2024,"1978. Depuis trois ans, le Cambodge, devenu Kampuchéa démocratique, est sous le joug de Pol Pot et ses Khmers rouges. Le pays est économiquement exsangue, et près de deux millions de Cambodgiens ont péri dans un génocide encore tu. Trois Français ont accepté l’invitation du régime et espèrent obtenir un entretien exclusif avec Pol Pot : une journaliste familière du pays, un reporter photographe et un intellectuel sympathisant de l’idéologie révolutionnaire. Mais la réalité qu’ils perçoivent sous la propagande et le traitement qu’on leur réserve va vont peu à peu faire basculer les certitudes de chacun.",112,"Drame,Historique",-," Cambodge, France, Qatar, Taïwan, Turquie",Tout public,Rithy Panh,"3,3","3,5",Rendez-vous avec Pol Pot,
"Manu Payet,Clovis Cornillac,Douglas Attal",11 avril 2012,"En plein échec professionnel et sentimental, Ben, qui se rêvait comique à New York, est de retour à Paris. Il rencontre Alex, présentateur-vedette du Breakfast-club, le Morning star de la radio. Avec Cyril, un quadra mal assumé, et Arnold, le leader charismatique de la bande, ils font la pluie et le beau temps sur Blast FM. Très vite Ben est engagé : Il écrira pour eux. Alors qu’il a à peine rejoint l’équipe, un raz de marée frappe de plein fouet la station : l’audience du breakfast est en chute libre. C’est en bus qu’ils sillonneront les routes de France pour rencontrer et reconquérir leur public. Pour ces Parisiens arrogants, de ce road trip radiophonique naîtra un véritable parcours initiatique qui bousculera leurs certitudes.",100,Comédie,-, France,,Romain Lévy,"3,6","3,4",Radiostars,
"Jean-Paul Rouve,Marilou Berry,Omar Sy",28 juin 2006,"Vincent Rousseau dirige pour la première fois une colonie de vacances et se retrouve plongé pendant trois semaines dans l'univers des colos avec petites histoires et gros soucis à la clef! Vincent se retrouve alors confronté à la vie mouvementée du camp, de ses animateurs plus ou moins professionnels et des ados pas toujours évidents à gérer...",103,Comédie,-, France,,Eric Toledano,"3,4","3,9",Nos jours heureux,
"Lino Ventura,Simone Signoret,Paul Crauchet",12 septembre 1969,"France 1942. Gerbier, ingénieur des Ponts et Chaussées est également l'un des chefs de la Résistance. Dénoncé et capturé, il est incarcéré dans un camp de prisonniers. Alors qu'il prépare son évasion, il est récupéré par la Gestapo...",143,"Drame,Guerre",Français," France, Italie",,Jean-Pierre Melville,"4,5","4,3",L'Armée des Ombres,
"Franck Gastambide,Alban Lenoir,Sofiane Zermani",29 mars 2024,Une équipe de choc a moins de 24 heures pour convoyer deux camions bourrés d’explosifs à travers une région hostile et empêcher une terrible catastrophe. ,104,"Action,Aventure,Thriller",-," France, U.S.A.",,Julien Leclercq,"2,4","1,4",Le Salaire de la Peur,
"Rémy Girard,Lubna Azabal,Mélissa Désormeaux-Poulin",12 janvier 2011,"A la lecture du testament de leur mère, Jeanne et Simon Marwan se voient remettre deux enveloppes : l’une destinée à un père qu’ils croyaient mort et l‘autre à un frère dont ils ignoraient l’existence.",123,Drame,-, Canada,,Denis Villeneuve,"3,8","4,3",Incendies,
"Raphaël Quenard,Agathe Rousselle,Igor Gotesman",6 juillet 2023,"À Chartres, les Breuil, à la tête d’un important groupe de parfums, règnent sur la ville de père en fils. Toujours à Chartres, mais à des années-lumière de ce monde de luxe, Daniel Sauveur ne supporte plus la richesse insolente des Breuil et vit de petites combines. Quand le projet qu’il a monté avec son copain d’enfance est sabordé par le groupe, il n’a plus qu’une idée en tête : se venger. Il se débrouille alors pour être embauché dans l’usine familiale et convainc ses collègues de dérober une partie du stock. Avec toujours le même objectif : faire tomber la plus puissante dynastie de la ville…",95,"Comédie,Drame",-, France,,Jérémie Rozan,"3,3","3,6",Cash,
"Pierre Niney,Lou de Laâge,André Dussollier",8 septembre 2021,"Que s’est-il passé à bord du vol Dubaï-Paris avant son crash dans le massif alpin ? Technicien au BEA, autorité responsable des enquêtes de sécurité dans l’aviation civile, Mathieu Vasseur est propulsé enquêteur en chef sur une catastrophe aérienne sans précédent. Erreur de pilotage ? Défaillance technique ? Acte terroriste ? L’analyse minutieuse des boîtes noires va pousser Mathieu à mener en secret sa propre investigation. Il ignore encore jusqu’où va le mener sa quête de vérité.",130,"Drame,Thriller",-, France,,Yann Gozlan,"3,8","4,2",Boîte noire,
"Didier Bourdon,Eric Fraticelli,Philippe Corti",1 novembre 2023,L’histoire vraie de trois amis qui découvrent un trésor… inestimable !,92,Comédie,-, France,,Eric Fraticelli,"2,6",,Inestimable,
"Vincent Cassel,François Civil,Romain Duris",13 décembre 2023,"Du Louvre au Palais de Buckingham, des bas-fonds de Paris au siège de La Rochelle… dans un Royaume divisé par les guerres de religion et menacé d’invasion par l’Angleterre, une poignée d’hommes et de femmes vont croiser leurs épées et lier leur destin à celui de la France.",115,"Aventure,Historique",-, France,,Martin Bourboulon,"3,3","3,6",Les Trois Mousquetaires: Milady,
"Blake Lively,Michiel Huisman,Harrison Ford",22 mai 2015,"Après un accident qui aurait dû lui être fatal, la belle Adaline cesse de vieillir. Aujourd'hui, bien qu'ayant vécu près de huit décennies, elle est toujours âgée de 29 ans. Après avoir mené une existence solitaire afin de ne jamais révéler son secret, une rencontre fortuite avec le philanthrope et charismatique Ellis Jones, va raviver sa passion de la vie et de l'amour.",113,"Drame,Fantastique,Romance",-, U.S.A.,,Lee Toland Krieger,"4,0",,Adaline,The Age Of Adaline
"Léa Seydoux,Louis Garrel,Vincent Lindon",14 mai 2024,"Florence veut présenter David, l’homme dont elle est follement amoureuse, à son père Guillaume. Mais David n’est pas attiré par Florence et souhaite s’en débarrasser en la jetant dans les bras de son ami Willy. Les quatre personnages se retrouvent dans un restaurant au milieu de nulle part.",80,Comédie,-, France,Tout public,Quentin Dupieux,"3,8","3,3",Le Deuxième acte,
"Galatea Bellugi,Carlotta Gamba,Veronica Lucchesi",12 juin 2024,"Venise, au 18ème siècle. A l'Institut Sant'Ignazio, orphelinat et conservatoire pour jeunes filles, tout le monde s'agite en vue de la visite imminente du nouveau Pape et du grand concert qui sera donné en son honneur. Teresa, jeune domestique silencieuse et solitaire, fait alors une découverte exceptionnelle qui va révolutionner la vie du conservatoire : un piano-forte.",106,"Drame,Historique,Musical",Italien," Italie, Suisse",Tout public,Margherita Vicario,"2,6","3,5",Gloria!,
"Jessica Chastain,Peter Sarsgaard,Brooke Timber",29 mai 2024,"Sylvia mène une vie simple, structurée par sa fille, son travail et ses réunions des AA. Pourtant, ses retrouvailles avec Saul bouleversent leurs existences, réveillant des souvenirs douloureux que chacun avait enfouis jusque-là.",100,Drame,-," U.S.A., Mexique, Chili",Tout public,Michel Franco,"3,8","3,9",Memory,
"Izïa Higelin,Sophie Guillemin,Jean-Pierre Darroussin",12 juin 2024,"Juliette, jeune illustratrice de livres pour enfants, quitte la ville pour retrouver sa famille quelques jours : son père si pudique qu’il ne peut s’exprimer qu’en blagues, sa mère artiste peintre qui croque la vie à pleines dents, sa grand-mère chérie qui perd pied, et sa sœur, mère de famille débordée par un quotidien qui la dévore. Elle croise aussi le chemin de Pollux, jeune homme poétique et attachant. Dans ce joyeux bazar, des souvenirs et des secrets vont remonter à la surface.",96,Drame,-, France,Tout public,Blandine Lenoir,"3,4","3,5",Juliette au printemps,
"Rossy de Palma,André Dussollier,Eduardo Noriega",12 juin 2024,"Ex-star de l’opéra, Giovanna fulmine : alors qu’elle a été déclarée morte par erreur, les hommages de la presse tardent à venir. Mike, cascadeur anglais, peut-il décemment trembler devant la mort alors qu’il la défie tous les jours ? Fumer tue, mais Dolorès s’en fout : le jour des 15 ans de sa petite-fille, elle passe unilatéralement un pacte avec Dieu. Alors qu’elle essaie de se suicider, Marie-Cerise, ado harcelée, humiliée et déprimée, est kidnappée et va tout naturellement faire de son ravisseur son psy. Edouard, bien qu’il présente depuis des années une célèbre émission criminelle à la télé, accuse le coup quand sa mortalité se rappelle à lui.",109,"Comédie,Drame",-, France,Tout public avec avertissement,Marjane Satrapi,"2,8","2,4",Paradis Paris,
